timestamp,temp_c,cap_pf,cap_sd_pf,permittivity,optical_ratio,index,tpm_equiv,validation,ch410,ch435,ch460,ch485,ch510,ch535,ch560,ch585,ch610,ch645,ch680,ch705,ch730,ch760,ch810,ch860,ch900,ch940
2026-08-07T05:46:53.466Z,39.9,35.999,0.0082,2.9998,0.6193,0.0007,8.01,validated,805.5,829.2,856.3,863.8,909.5,927.9,943.5,984.1,1005.9,1041.1,1070.8,1088.9,1113.4,1140.8,1207.4,1237.5,1289.9,1338.9
2026-08-07T05:55:53.466Z,42.3,36.161,0.0083,3.0184,0.6032,0.0340,8.58,validated,778.3,799.3,822.5,852.3,878.6,905.7,940.1,967.4,989.9,1028.6,1070.8,1090.4,1111,1155.1,1201.6,1240.5,1293.1,1325.1
2026-08-07T06:04:53.466Z,43.7,36.312,0.0142,3.0344,0.5813,0.0719,9.22,validated,752.8,774.3,798.7,835.1,856.9,880.8,920.7,937.8,974.2,1011.5,1054.9,1079.3,1115.8,1124.4,1186.3,1252.6,1267.6,1332.1
2026-08-07T06:13:53.466Z,42.8,36.515,0.0171,3.0519,0.5816,0.0874,9.49,validated,722.9,759.1,789.3,807.2,846.8,877.6,898,934.7,972,1008.2,1031.1,1058.3,1108.3,1130.3,1178.8,1229.1,1261.8,1305.2
2026-08-07T06:22:53.466Z,41.6,36.727,0.0115,3.0697,0.5587,0.1289,10.19,validated,695,737.1,760.1,803.6,835.2,863,896.1,929,959.1,980.2,1043.3,1061.4,1074.8,1123.8,1184.8,1229.2,1265.7,1319.3
2026-08-07T06:31:53.466Z,39.2,36.976,0.0163,3.0892,0.5458,0.1612,10.74,validated,685.7,717.6,742.4,776.7,815.5,844.3,868.9,915.9,939.7,988.4,1024.3,1061.7,1086.8,1120.9,1179.9,1226.1,1278,1314.7
2026-08-07T06:40:53.466Z,37.1,37.202,0.0163,3.1069,0.5212,0.2064,11.51,validated,663.1,688.3,722.7,752.6,801.8,824.2,858.1,894.1,915.2,968,1009.8,1041.9,1070.7,1097.4,1169.6,1223.2,1273.3,1320.6
2026-08-07T06:49:53.466Z,36.2,37.404,0.0162,3.1243,0.5224,0.2207,11.75,validated,630.8,674.2,700.3,746,773.3,819.5,852.2,886.9,912.3,948.1,1013.4,1031.5,1053.2,1104.6,1149.6,1230,1265.1,1290.5
2026-08-07T06:58:53.466Z,38.4,37.541,0.0156,3.1403,0.5027,0.2594,12.41,validated,610.9,653.2,683.1,734.4,762.4,793,839.9,868.2,897.4,950.5,1005.6,1018.3,1056.5,1104.6,1141.1,1201.1,1254.3,1299.3
2026-08-07T07:07:53.466Z,40.5,37.7,0.0106,3.1582,0.4803,0.3044,13.17,validated,594.9,627.3,674.7,704.7,754.7,792,819.2,849.2,901.6,941.3,978.5,1009,1055.4,1090.8,1141.5,1216.2,1264.8,1306.1
2026-08-07T07:16:53.466Z,42.5,37.875,0.0177,3.1774,0.4751,0.3287,13.59,validated,576.1,620.3,656.4,691.6,739.4,776.2,813.7,849,879.6,940,972.3,1019.4,1030.8,1086.1,1129.2,1196.1,1258.5,1305.7
2026-08-07T07:25:53.466Z,43.2,40.867,0.0175,3.4554,0.4656,0.5941,18.10,moisture suspected,551.3,602.9,646.1,686.9,714.5,761.5,804.9,828.2,873.1,921.3,969.2,1006.7,1040.3,1065.6,1144.2,1193.6,1232.8,1294.8
2026-08-07T07:34:53.466Z,42.7,38.244,0.0107,3.2118,0.4567,0.3849,14.54,validated,539.4,582.6,616.6,658,698.7,749.6,782.3,815.9,859,915.8,968.6,999.4,1033.7,1057.7,1120.1,1196,1241.9,1275.8
2026-08-07T07:43:53.466Z,40.8,38.465,0.0106,3.2294,0.4332,0.4341,15.38,validated,527.7,558.9,605,647.5,685,735.3,764.9,809.9,841,909.6,960.2,982.7,1011.3,1071.3,1116.5,1195.5,1247.6,1290.2
2026-08-07T07:52:53.466Z,39.3,38.695,0.0162,3.2485,0.4233,0.4660,15.92,validated,501.1,547.4,588.7,635.2,669.8,723.2,762.2,802.2,846.2,893.9,943.4,969.3,1005.3,1046.6,1111.9,1193.6,1219.4,1293.3
2026-08-07T08:01:53.466Z,37.2,38.917,0.0169,3.2659,0.4173,0.4908,16.34,validated,483.8,531.7,581.5,615.1,655.3,703.1,749.2,786.3,820.3,879.4,943.8,975,1000.1,1043.4,1118.6,1188.8,1225.9,1274.2
2026-08-07T08:10:53.466Z,36.1,39.124,0.0161,3.2834,0.4046,0.5261,16.94,validated,469.8,517,567.1,607.5,644.7,693.9,734.5,771.3,808.1,880.6,932.3,953.9,987.6,1051.7,1110.2,1188.3,1214.8,1277.8
2026-08-07T08:19:53.466Z,37.4,39.288,0.0151,3.3005,0.3865,0.5704,17.70,validated,455.6,496.8,544.3,596.4,636.1,680.2,715.8,765.7,809.5,863.2,925.9,957.1,998.3,1037,1098.4,1167.4,1229.8,1285.3
2026-08-07T08:28:53.466Z,39.6,39.439,0.0133,3.3178,0.3777,0.6007,18.21,validated,447.5,483.8,539.4,573.7,620.1,667.8,715.8,747.7,792.3,854.8,905.2,941.9,984.1,1036.6,1088.8,1162.1,1220.7,1281
2026-08-07T08:37:53.466Z,41.9,39.592,0.0098,3.3354,0.3758,0.6198,18.54,validated,430.7,470.9,518.9,563.1,607.8,648.2,693.9,747,785.3,836.7,892.9,937.3,979.3,1027.5,1091.4,1169.9,1226.8,1253
2026-08-07T08:46:53.466Z,43.5,39.763,0.0092,3.3537,0.3594,0.6645,19.30,validated,418.1,456.9,509.2,552.7,595.5,645.4,684.2,733,773.7,829.3,893.1,937,971.1,1013.5,1076.5,1158.7,1196.9,1271.3
2026-08-07T08:55:53.466Z,42.4,39.976,0.0127,3.3717,0.1689,1.0130,25.22,particulate or fouling,142,168.6,199.3,234.3,266.8,304.6,348.5,387,429.6,488.3,543.7,599.2,644.6,690.8,783.7,866.1,937.8,998.3
2026-08-07T09:04:53.466Z,41.1,40.185,0.008,3.3891,0.3459,0.7208,20.25,validated,390.8,434,485,526.2,567.7,619.6,671.2,719.2,750.7,814.3,883.3,908.5,947.6,1005.8,1067.4,1152.3,1202.8,1254.6
2026-08-07T09:13:53.466Z,39.3,40.393,0.0089,3.4057,0.3382,0.7501,20.75,validated,372.9,421.9,473.5,512.3,568.3,608,651.7,700.2,752.7,799.4,858.2,912.4,952.5,994.3,1059.7,1152.9,1190.9,1247.5
2026-08-07T09:22:53.466Z,37.2,40.637,0.0128,3.4252,0.3283,0.7864,21.37,validated,364,407.7,458.7,501.9,554,597.9,652.3,691.5,734.4,797.2,858,905.2,950.5,990.7,1062.3,1151.1,1208.4,1241.9
